W1,W2,W3,W4,F
another,rahul,gandhi,lie,3
reckon,contest,amethi,rahul,3
us,ur,strategy,something,3
attack,people,tell,vote,3
campaign,committees,gujarat,poll,3
election,campaign,committees,gujarat,3
sets,election,campaign,committees,3
singh,endorsing,zakir,naik,3
endorsing,zakir,naik,congress,3
video,digvijay,singh,endorsing,3
lets,ask,exciting,new,3
governor,patel,stake,claim,3
patel,stake,claim,form,3
stake,claim,form,government,3
zakir,naik,congress,foot,3
ask,exciting,new,progressive,3
exciting,new,progressive,women,3
congress,president,sets,election,3
president,sets,election,campaign,3
time,lets,ask,exciting,3
welcome,time,lets,ask,3
general,secretary,east,upcoming,3
gandhi,read,track,live,3
rahul,gandhi,read,track,3
congress,leaders,meet,madhya,3
residence,delhi,track,live,3
gandhis,residence,delhi,track,3
trans,flag,outside,office,3
leaders,meet,madhya,pradesh,3
meet,madhya,pradesh,governor,3
hang,trans,flag,outside,3
congresswoman,hang,trans,flag,3
new,progressive,women,join,3
madhya,pradesh,governor,today,3
tell,us,ur,strategy,3
unemployment,country,growing,unemployment,3
dont,tell,us,ur,3
appointed,india,congress,committee,3
finance,minister,hiding,says,3
deal,shedding,crocodile,tears,3
guts,finance,minister,hiding,3
lacks,guts,finance,minister,3
tickets,uttarakhand,congress,polls,3
race,tickets,uttarakhand,congress,3
adhering,rules,could,authenticate,3
lotus,lootus,want,india,3
would,like,inform,congress,3
tape,adhering,rules,could,3
like,inform,congress,clear,3
produce,tape,adhering,rules,3
tried,produce,tape,adhering,3
inform,congress,clear,majority,3
shedding,crocodile,tears,hal,3
defence,minister,congress,spokesperson,3
congress,clear,majority,says,3
minister,congress,spokesperson,said,3
congress,spokesperson,said,discuss,3
spokesperson,said,discuss,indias,3
launch,party’s,campaign,poll,3
party’s,campaign,poll,valsad,3
apologised,winked,eye,pm,3
congress,new,modus,operandi,3
allegations,congress,new,modus,3
fake,allegations,congress,new,3
scoot,fake,allegations,congress,3
rahul,gandhi,authenticate,tape,3
threw,paper,plane,towards,3
coming,dont,tell,us,3
president,participate,discussion,today,3
clueless,coming,dont,tell,3
